EmployeeID,Name,Age,Department,City,Salary,Experience,Rating
1,Employee_1,28,IT,Pune,61048,7,3.1
2,Employee_2,27,Marketing,Hyderabad,102397,13,2.6
3,Employee_3,26,HR,Guntur,91237,19,2.6
4,Employee_4,33,Marketing,Chennai,53893,14,4.0
5,Employee_5,21,HR,Pune,80392,10,3.2
6,Employee_6,34,Sales,Hyderabad,37156,12,2.7
7,Employee_7,43,Marketing,Vijayawada,30695,14,3.8
8,Employee_8,45,IT,Bangalore,63427,20,4.0
9,Employee_9,44,Marketing,Guntur,117349,2,2.6
10,Employee_10,35,Sales,Hyderabad,55512,3,3.5
11,Employee_11,50,Sales,Guntur,73520,11,3.0
12,Employee_12,38,IT,Bangalore,108227,5,3.8
13,Employee_13,36,HR,Chennai,74735,8,5.0
14,Employee_14,56,HR,Pune,67504,1,3.1
15,Employee_15,23,Sales,Chennai,60093,2,3.0
16,Employee_16,57,Sales,Guntur,110909,15,3.5
17,Employee_17,50,HR,Vijayawada,43301,7,4.4
18,Employee_18,55,Sales,Pune,101622,13,4.7
19,Employee_19,46,Sales,Guntur,43131,16,3.7
20,Employee_20,24,IT,Guntur,107240,5,4.5
21,Employee_21,48,Marketing,Hyderabad,75432,12,4.0
22,Employee_22,50,Marketing,Vijayawada,97512,0,4.2
23,Employee_23,28,Marketing,Vijayawada,109012,10,2.8
24,Employee_24,48,HR,Chennai,25425,8,4.9
25,Employee_25,32,Marketing,Hyderabad,106959,9,4.6
26,Employee_26,53,Marketing,Guntur,45032,11,4.4
27,Employee_27,55,Marketing,Hyderabad,103504,10,3.7
28,Employee_28,28,Sales,Vijayawada,56385,1,3.1
29,Employee_29,57,IT,Hyderabad,88699,2,4.9
30,Employee_30,55,HR,Guntur,111474,15,4.9
31,Employee_31,31,Sales,Bangalore,104507,13,4.9
32,Employee_32,55,HR,Pune,65857,12,5.0
33,Employee_33,44,Finance,Bangalore,84177,3,3.1
34,Employee_34,25,Sales,Hyderabad,102110,17,3.1
